,ts,device,val
8980,1540540237348,area2,673255.1617131849
8981,1540540237738,area1,347089.5791588704
8982,1540540238301,area2,673255.1713671369
8983,1540540238567,area1,347089.5823596616
8984,1540540239098,area2,673255.1797277192
8985,1540540239551,area2,673255.1838635951
8986,1540540239598,area1,347089.58653687517
8987,1540540240776,area2,673255.1965360913
8988,1540540241261,area1,347089.5949132952
8989,1540540242076,area1,347089.59835230396
8990,1540540242154,area2,673255.210966048
8991,1540540242672,area1,347089.60115810717
8992,1540540243110,area2,673255.2217078024
8993,1540540243704,area2,673255.2281220279
8994,1540540244157,area1,347089.60662372556
8995,1540540244641,area2,673255.237986168
8996,1540540244985,area1,347089.60952490557
8997,1540540245735,area2,673255.2477507144
8998,1540540245954,area1,347089.6137968784
8999,1540540246844,area1,347089.61705657124
9000,1540540246891,area2,673255.2594354207
9001,1540540248282,area1,347089.62357776717
9002,1540540248329,area2,673255.2727018248
9003,1540540248802,area1,347089.6252761424
9004,1540540249384,area2,673255.2824941153
9005,1540540249915,area1,347089.6299075808
9006,1540540250056,area2,673255.2905553456
9007,1540540250811,area1,347089.6327328512
9008,1540540250858,area2,673255.298586168
9009,1540540251862,area1,347089.6372423616
9010,1540540252034,area2,673255.3106837263
9011,1540540252849,area1,347089.64115127444
9012,1540540253399,area2,673255.3228538153
9013,1540540253977,area2,673255.3287767561
9014,1540540254133,area1,347089.6462816488
9015,1540540255055,area1,347089.6509764048
9016,1540540255165,area2,673255.3408607824
9017,1540540255696,area1,347089.6535932384
9018,1540540256040,area2,673255.351402884
9019,1540540256758,area1,347089.6576285632
9020,1540540257118,area2,673255.3615129553
9021,1540540257872,area2,673255.3693042216
9022,1540540258231,area1,347089.6631959128
9023,1540540258762,area2,673255.3772568897
9024,1540540258934,area1,347089.6667791488
9025,1540540259793,area2,673255.38737426
9026,1540540260262,area1,347089.6730753152
9027,1540540260872,area1,347089.6766212488
9028,1540540260918,area2,673255.3989822528
9029,1540540262094,area2,673255.410805364
9030,1540540262391,area1,347089.6829782456
9031,1540540262735,area1,347089.684645504
9032,1540540263173,area2,673255.4206256928
9033,1540540263940,area1,347089.6895786944
9034,1540540264096,area2,673255.4304174881
9035,1540540264830,area1,347089.6928451776
9036,1540540264971,area2,673255.4379968321
9037,1540540266346,area1,347089.69884456
9038,1540540266377,area2,673255.4516571944
9039,1540540266959,area1,347089.7010213624
9040,1540540267193,area2,673255.4598253256
9041,1540540268115,area1,347089.7070821488
9042,1540540268490,area2,673255.4742494336
9043,1540540268756,area2,673255.4762746296
9044,1540540269334,area1,347089.717148308
9045,1540540269897,area2,673255.4883919816
9046,1540540270053,area1,347089.7195723904
9047,1540540270756,area1,347089.7230248904
9048,1540540270881,area2,673255.4988109146
9049,1540540271834,area1,347089.7271572888
9050,1540540272162,area2,673255.5114066792
9051,1540540272756,area1,347089.7306235128
9052,1540540273193,area2,673255.5216208041
9053,1540540273740,area1,347089.7344284912
9054,1540540274397,area2,673255.5335137552
9055,1540540275116,area1,347089.7398379944
9056,1540540275163,area2,673255.54161294
9057,1540540275996,area2,673255.549428588
9058,1540540276153,area1,347089.74386670237
9059,1540540276762,area1,347089.74629547197
9060,1540540277293,area2,673255.5634304953
9061,1540540278188,area2,673255.5715186865
9062,1540540278344,area1,347089.75244628877
9063,1540540279157,area1,347089.75563113764
9064,1540540279360,area2,673255.5835267912
9065,1540540279907,area2,673255.58960484
9066,1540540280111,area1,347089.7599062528
9067,1540540280754,area2,673255.5978893982
9068,1540540280786,area1,347089.7621498312
9069,1540540281866,area1,347089.7675177552
9070,1540540282194,area2,673255.6119380983
9071,1540540282757,area2,673255.6181250832
9072,1540540283512,area1,347089.77459818963
9073,1540540284074,area2,673255.6326377175
9074,1540540284309,area1,347089.7821414353
9075,1540540284921,area1,347089.78755301924
9076,1540540285314,area2,673255.6451456656
9077,1540540286376,area1,347089.7953702536
9078,1540540286517,area2,673255.6571060072
9079,1540540287079,area2,673255.6632982289
9080,1540540287235,area1,347089.798846568
9081,1540540288068,area2,673255.6734343375
9082,1540540288193,area1,347089.80360632326
9083,1540540289367,area1,347089.80889148876
9084,1540540289430,area2,673255.6856042978
9085,1540540289789,area2,673255.6896429072
9086,1540540290039,area1,347089.8114601432
9087,1540540290852,area1,347089.81476564397
9088,1540540291039,area2,673255.7039084897
9089,1540540291840,area1,347089.8188171264
9090,1540540292422,area2,673255.7158717873
9091,1540540293206,area1,347089.824209388
9092,1540540293315,area2,673255.7264292233
9093,1540540293768,area1,347089.8267288936
9094,1540540294081,area2,673255.7346370785
9095,1540540295177,area2,673255.744881721
9096,1540540295287,area1,347089.8335746784
9097,1540540296228,area2,673255.7551082496
9098,1540540296259,area1,347089.837872308
9099,1540540297855,area1,347089.8447095008
9100,1540540298152,area2,673255.7750300992
9101,1540540299293,area2,673255.7872388576
9102,1540540299309,area1,347089.85066001443
9103,1540540300247,area2,673255.7977503968
9104,1540540300294,area1,347089.85865542
9105,1540540300841,area2,673255.80188548
9106,1540540301044,area1,347089.86429081444
9107,1540540301764,area1,347089.8701255064
9108,1540540302123,area2,673255.8165313479
9109,1540540303108,area1,347089.87615930557
9110,1540540303451,area2,673255.8310627169
9111,1540540303623,area2,673255.8310627169
9112,1540540304330,area1,347089.8815009801
9113,1540540304971,area1,347089.8839019672
9114,1540540305221,area2,673255.8470284984
9115,1540540305912,area2,673255.8553443352
9116,1540540306240,area1,347089.8887872912
9117,1540540306584,area1,347089.8904347944
9118,1540540306693,area2,673255.8636068144
9119,1540540308229,area2,673255.8779592152
9120,1540540308370,area1,347089.8982147056
9121,1540540308729,area1,347089.899953348
9122,1540540308776,area2,673255.8843696824
9123,1540540309589,area1,347089.903536428
9124,1540540309729,area2,673255.8946587224
9125,1540540310687,area1,347089.9086572488
9126,1540540311193,area2,673255.9090276303
9127,1540540312211,area2,673255.9189578296
9128,1540540312336,area1,347089.9159011425
9129,1540540312789,area2,673255.9252510241
9130,1540540313070,area1,347089.9190168568
9131,1540540313742,area2,673255.9351319312
9132,1540540314133,area1,347089.9230687144
9133,1540540314933,area1,347089.9261156984
9134,1540540315261,area2,673255.9513606312
9135,1540540315590,area2,673255.9533635728
9136,1540540315780,area1,347089.9298249272
9137,1540540316967,area2,673255.967563919
9138,1540540317046,area1,347089.9435870848
9139,1540540317987,area2,673255.9777491448
9140,1540540318144,area1,347089.94930691604
9141,1540540319003,area1,347089.95194758236
9142,1540540319442,area2,673255.9941846783
9143,1540540319582,area1,347089.9540830087
9144,1540540319660,area2,673255.9962764321
9145,1540540321260,area2,673256.0127204745
9146,1540540321244,area1,347089.9618528768
9147,1540540321744,area1,347089.9641906952
9148,1540540321791,area2,673256.0167857914
9149,1540540322588,area1,347089.9673560616
9150,1540540322978,area2,673256.0288730679
9151,1540540323589,area1,347089.9715554832
9152,1540540323886,area2,673256.0388812384
9153,1540540324683,area2,673256.0467264792
9154,1540540325089,area1,347089.9786565744
9155,1540540326074,area1,347089.9827653361
9156,1540540326183,area2,673256.0604898953
9157,1540540326855,area2,673256.0682040992
9158,1540540326933,area1,347089.9862130848
9159,1540540327606,area1,347089.9889092873
9160,1540540327750,area2,673256.0760752152
9161,1540540328986,area2,673256.0876880368
9162,1540540329283,area1,347089.9968240304
9163,1540540330005,area1,347089.9998577521
9164,1540540330145,area2,673256.0997066088
9165,1540540330661,area1,347090.0048243816
